lon_centroid,lat_centroid
-179.15,-16.091666
-179.106667,-16.743333
-179.106667,-16.743333
-179.106667,-16.743333
-179.106667,-16.743333
-179.106667,-16.743333
-179.106667,-16.743333
-179.106667,-16.743333
-179.106667,-16.743333
-179.106667,-16.743333
-179.106667,-16.743333
-179.106667,-16.743333
-179.106667,-16.743333
-179.106667,-16.743333
-179.106667,-16.743333
-179.106667,-16.743333
-179.106667,-16.743333
-179.106667,-16.743333
-179.106667,-16.743333
-179.106667,-16.743333
-179.106667,-16.743333
-179.106667,-16.743333
-178.476667,-3.945
-178,-18
-178,-18
-178,-18
-178,-18
-178,-18
-178,-18
-178,-18
-178,-18
-178,47.5
-178,47.5
-178,47.5
-178,47.5
-178,47.5
-178,47.5
-178,47.5
-178,47.5
-178,47.5
-178,47.5
-177.858334,-31.171666
-177.858334,-31.171666
-176.0097065,67.92213692
-176.0097065,67.92213692
-176.0097065,67.92213692
-176.0097065,67.92213692
-176.0097065,67.92213692
-176.0097065,67.92213692
-175.521667,-20.655
-175.521667,-20.655
-175.521667,-20.655
-175.521667,-20.655
-175.521667,-20.655
-175.521667,-20.655
-175.521667,-20.655
-175.521667,-20.655
-175.521667,-20.655
-175.521667,-20.655
-175.521667,-20.655
-175.403334,-20.7155
-175.386667,-15.675
-175.2500003,59.13137929
-175.211667,-21.042666
-173.153334,-33.108333
-173.153334,-33.108333
-173.153334,-33.108333
-172.233334,-13.006666
-172.116667,52.90021747
-172.023334,18.136667
-171.563334,61.313334
-171.501667,31.026667
-169.634167,65.064667
-169.634167,65.064667
-169.634167,65.064667
-169.634167,65.064667
-169.634167,65.064667
-169.634167,65.064667
-169.634167,65.064667
-169.634167,65.064667
-169.634167,65.064667
-169.634167,65.064667
-169.634167,65.064667
-169.634167,65.064667
-169.634167,65.064667
-169.634167,65.064667
-169.634167,65.064667
-169.634167,65.064667
-169.634167,65.064667
-169.634167,65.064667
-169.634167,65.064667
-169.634167,65.064667
-169.634167,65.064667
-169.634167,65.064667
-169.634167,65.064667
-169.634167,65.064667
-169.634167,65.064667
-169.634167,65.064667
-169.634167,65.064667
-169.634167,65.064667
-169.634167,65.064667
-169.634167,65.064667
-169.634167,65.064667
-169.634167,65.064667
-169.634167,65.064667
-169.634167,65.064667
-169.634167,65.064667
-169.634167,65.064667
-169.634167,65.064667
-169.634167,65.064667
-169.634167,65.064667
-169.634167,65.064667
-169.634167,65.064667
-169.634167,65.064667
-169.634167,65.064667
-169.634167,65.064667
-169.634167,65.064667
-169.634167,65.064667
-169.634167,65.064667
-169.634167,65.064667
-169.634167,65.064667
-169.634167,65.064667
-169.634167,65.064667
-169.634167,65.064667
-169.634167,65.064667
-169.634167,65.064667
-169.634167,65.064667
-169.634167,65.064667
-169.634167,65.064667
-169.634167,65.064667
-169.634167,65.064667
-169.634167,65.064667
-169.634167,65.064667
-169.634167,65.064667
-169.634167,65.064667
-169.634167,65.064667
-169.634167,65.064667
-169.634167,65.064667
-169.634167,65.064667
-169.634167,65.064667
-169.634167,65.064667
-169.634167,65.064667
-169.634167,65.064667
-169.634167,65.064667
-169.634167,65.064667
-169.634167,65.064667
-169.634167,65.064667
-169.634167,65.064667
-168.952167,66.3265
-168.952167,66.3265
-168.952167,66.3265
-168.952167,66.3265
-168.952167,66.3265
-168.952167,66.3265
-168.952167,66.3265
-168.952167,66.3265
-168.952167,66.3265
-168.952167,66.3265
-168.952167,66.3265
-168.952167,66.3265
-168.952167,66.3265
-168.952167,66.3265
-168.952167,66.3265
-168.952167,66.3265
-168.952167,66.3265
-168.952167,66.3265
-168.952167,66.3265
-168.952167,66.3265
-168.952167,66.3265
-168.952167,66.3265
-168.952167,66.3265
-168.952167,66.3265
-168.952167,66.3265
-168.952167,66.3265
-168.952167,66.3265
-168.952167,66.3265
-168.952167,66.3265
-168.952167,66.3265
-168.952167,66.3265
-168.952167,66.3265
-168.952167,66.3265
-168.952167,66.3265
-168.952167,66.3265
-168.952167,66.3265
-168.952167,66.3265
-168.952167,66.3265
-168.952167,66.3265
-168.952167,66.3265
-168.952167,66.3265
-168.952167,66.3265
-168.952167,66.3265
-168.952167,66.3265
-168.952167,66.3265
-168.952167,66.3265
-168.952167,66.3265
-168.952167,66.3265
-168.952167,66.3265
-168.952167,66.3265
-168.952167,66.3265
-168.952167,66.3265
-168.952167,66.3265
-168.952167,66.3265
-168.952167,66.3265
-168.952167,66.3265
-168.952167,66.3265
-168.952167,66.3265
-168.952167,66.3265
-168.952167,66.3265
